Model,N,Faithfulness,Faithfulness_mean,Faithfulness_std,Answer Relevancy,Answer Relevancy_mean,Answer Relevancy_std,Context Precision,Context Precision_mean,Context Precision_std,Context Recall,Context Recall_mean,Context Recall_std,Chunk Efficiency,Chunk Efficiency_mean,Chunk Efficiency_std,Context Degradation,Context Degradation_mean,Context Degradation_std,Avg Response Time (s),Answer Rate (%)
gpt-3.5-turbo,10,0.923 ± 0.073,0.9226648351648352,0.11785121914465874,0.786 ± 0.035,0.786305859638499,0.05631712317954965,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.830 ± 0.025,0.8300000000000001,0.03990729999126215,0.365 ± 0.030,0.36476764968782666,0.04804408947915994,0.734 ± 0.143,0.733637895995392,0.23023568168375888,3.71 ± 1.29,100.0%
claude-3-haiku-20240307,10,0.932 ± 0.036,0.9316666666666664,0.05797509043642029,0.859 ± 0.017,0.858563003540039,0.02707859479860827,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.540 ± 0.078,0.54,0.12649110640673517,0.718 ± 0.063,0.7178828425109387,0.10156336963576827,0.789 ± 0.115,0.7886083026498312,0.18615238567504486,2.60 ± 0.49,100.0%
gemini-pro,10,0.919 ± 0.078,0.9186753246753246,0.125208243547177,0.796 ± 0.040,0.7964718083747021,0.0646878453474248,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.923 ± 0.034,0.9233333333333335,0.05454638981614922,0.422 ± 0.026,0.4222714504003525,0.04120147788787662,0.770 ± 0.125,0.76953279,0.20168098083600824,28.42 ± 6.21,100.0%
