Model,N,Faithfulness,Faithfulness_mean,Faithfulness_std,Answer Relevancy,Answer Relevancy_mean,Answer Relevancy_std,Context Precision,Context Precision_mean,Context Precision_std,Context Recall,Context Recall_mean,Context Recall_std,Chunk Efficiency,Chunk Efficiency_mean,Chunk Efficiency_std,Context Degradation,Context Degradation_mean,Context Degradation_std,Avg Response Time (s),Answer Rate (%)
claude-3-haiku-20240307,10,0.926 ± 0.070,0.925909090909091,0.11346552815270168,0.804 ± 0.054,0.8041334756659222,0.08767562932714723,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.873 ± 0.030,0.8733333333333333,0.049190985824841445,0.398 ± 0.031,0.39824725115299225,0.04939234488013918,0.789 ± 0.115,0.7886083026498312,0.18615238567504486,0.00 ± 0.00,100.0%
gpt-3.5-turbo,10,0.934 ± 0.059,0.9338888888888889,0.09494962927134278,0.780 ± 0.048,0.7797130560240189,0.07816432313428508,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.837 ± 0.012,0.8366666666666667,0.018921540406584888,0.368 ± 0.026,0.3675376812815666,0.04263727928084956,0.734 ± 0.143,0.733637895995392,0.23023568168375888,2.76 ± 0.73,100.0%
