Model,N,Faithfulness,Faithfulness_mean,Faithfulness_std,Answer Relevancy,Answer Relevancy_mean,Answer Relevancy_std,Context Precision,Context Precision_mean,Context Precision_std,Context Recall,Context Recall_mean,Context Recall_std,Chunk Efficiency,Chunk Efficiency_mean,Chunk Efficiency_std,Avg Response Time (s),Answer Rate (%)
claude-3-haiku-20240307,10,0.904 ± 0.110,0.9044444444444444,0.17787034627026657,0.833 ± 0.045,0.8328240699427468,0.07262504619451814,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.867 ± 0.051,0.8666666666666666,0.08164965809277261,0.415 ± 0.031,0.4151942913234234,0.04927570963651518,2.95 ± 0.80,100.0%
gemini-pro,10,0.846 ± 0.104,0.8457836990595611,0.16800961893483685,0.785 ± 0.034,0.7852886656104744,0.05502756773790904,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.897 ± 0.034,0.8966666666666668,0.05544433311055398,0.415 ± 0.033,0.414716527491808,0.05377050998654367,26.41 ± 6.56,100.0%
gpt-3.5-turbo,10,0.890 ± 0.121,0.8904761904761905,0.19479236770339614,0.788 ± 0.040,0.7878635520300307,0.06519639199212936,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.827 ± 0.081,0.8266666666666668,0.1303366959876905,0.368 ± 0.025,0.3684794647842646,0.040768565526574305,3.08 ± 0.59,100.0%
