Model,N,Faithfulness,Faithfulness_mean,Faithfulness_std,Answer Relevancy,Answer Relevancy_mean,Answer Relevancy_std,Context Precision,Context Precision_mean,Context Precision_std,Context Recall,Context Recall_mean,Context Recall_std,Chunk Efficiency,Chunk Efficiency_mean,Chunk Efficiency_std,Avg Response Time (s),Answer Rate (%)
claude-3-haiku-20240307,13,0.789 ± 0.198,0.7891608391608392,0.3643342661789922,0.680 ± 0.165,0.6798479245982683,0.3026982075373953,0.813 ± 0.016,0.8128205128205129,0.028990616420763466,0.741 ± 0.180,0.741025641025641,0.3317054265888486,0.361 ± 0.056,0.36139684851926107,0.10393066979514662,0.77 ± 1.47,100.0%
gpt-3.5-turbo,10,0.934 ± 0.059,0.9338888888888889,0.09494962927134278,0.780 ± 0.048,0.7797130560240189,0.07816432313428508,0.807 ± 0.019,0.8066666666666666,0.030631219449089375,0.837 ± 0.012,0.8366666666666667,0.018921540406584888,0.368 ± 0.026,0.3675376812815666,0.04263727928084956,2.76 ± 0.73,100.0%
